pID,pName,culture,adventure,wildlife,sightseeing,history,tags,province,latitude,longitude
167,Champa Devi Temple (Hiking Trail),0.8,0.8,0,0.6,0.6,"hiking, temple, religious shrine",3,,
168,Bungmati Village,0,0.8,0,0.6,0.4,"hiking, temple",3,,
169,Patan,0.8,0.4,0,0.8,1,"cultural, historical",3,23.773753,71.6798581259845
170,Chhauni Museum,0.8,0,0,0.6,0,"museum, cultural",3,27.7055,85.2891404679339
171,Ashok Binayak Temple,0.8,0,0,0.4,0.8,"temple, hindu, buddhist",3,,
172,Phulchowki,0,1,0,0.6,0,"hill, trekking, hiking, picnic spot",3,27.6006817,85.3682421
173,Shivapuri Nagarjun National Park,0,0.8,1,0.8,0.6,"trekking, hills, hiking, waterfall, wildlife",3,27.8147464,85.3922872
174,Taudaha Lake,0,0.6,0,0.4,1,"lake, pond, historical",3,27.6487654,85.2821583095972
175,Narayanhiti Palace,0,0,0,0.6,0.8,"historical,tour",3,27.7148956,85.3181031
176, Hanuman Dhoka,0.8,0,0,0.8,0.8,"temples, cultural",3,27.704099,85.3074492
177,The Royal Botanical Gardens,0,0,0,0.6,0,"garden,pond",3,,
178,The White Monastery,0.6,0.4,0,0.4,0.8,"monastery, buddhist",3,,
179,Thimi,0.6,0,0,0.8,0.6,"cultural, temples",3,27.6732593,85.3864013
180,The Toothache Tree(Vaisha Dev Shrine),1,0,0,0.6,1,"Religious Shrine, temple",3,,
181, Kakani ,0.6,1,0,0.8,0.6,"cycling, biking, picnic spot, farm",3,27.8223196,85.2441068905798
182,Taumadhi Square,0.6,0,0,0.6,0.6,"sculpture, hindu, temple",3,,
183,Dattatraya and pottery Square,0.6,0,0,0.6,0.8,"picnic spot,hiking,temple",3,,
184,Pilot Baba Ashram,0.8,0.8,0,0.6,0.8,"hiking, scenery, temple",3,29.9127369,78.1390962
185,Kailashnath temple,0.6,0,0,0.6,0.8,"temple, statue,",3,27.64585395,85.4750599066619
186,Ranikot,0,0.6,0,0.6,0,"hiking, trekking, picnic spot",3,27.6235929,85.4308432
187,Siddha Pokhari,0.6,0.6,0,0.6,0.8,"pond, lake, temples, sculptures",3,27.6720253,85.4204415
188,Trishul Danda,0.6,0.6,0,0.4,0.6,"hill, temple",3,,
189,Ghyampe Danda,0.6,0.6,0,0.2,0.4,"hill, temple",3,,
190,Latarambeshwor,0.6,0,0,0.4,0.8,"temple,hill",3,27.6469049,85.4838529
191,Subarneshwor Mahadev temple,0.8,0,0,0.6,0.8,"hindu,temple, hill",3,,
192,Anantalingeshwor Mahadev temple,0.8,0,0,0.8,0.6,"hindu, temple, rhododendron,pond",3,,
